valence,year,acousticness,danceability,duration_min,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,decade,first_artist,key_mode
0.459,1991,1.26e-05,0.341,2.6071166666666667,0.964,0,0.000103,B,0.151,-5.327000000000001,Minor,Lounge Act,56,0.107,152.192,1990s,Nirvana,B - Minor
0.682,1991,0.0045299999999999,0.674,4.004883333333333,0.833,0,0.00574,D,0.274,-7.625,Major,Don't Tread On Me,55,0.0393,107.991,1990s,Metallica,D - Major
0.6609999999999999,1991,0.7759999999999999,0.386,3.993333333333333,0.319,0,0.965,E,0.106,-16.512,Major,Caribbean Blue,54,0.0332,157.614,1990s,Enya,E - Major
0.873,1991,0.174,0.518,4.248883333333334,0.901,0,0.0314,A,0.0712,-3.749,Major,Black or White,67,0.093,115.026,1990s,Michael Jackson,A - Major
0.68,1991,0.0336,0.867,4.053333333333334,0.679,0,1.59e-06,A#,0.0742,-12.028,Minor,The Choice Is Yours (Revisited),58,0.207,101.293,1990s,Black Sheep,A# - Minor
0.305,1991,0.469,0.537,3.7877833333333335,0.348,0,0.0,B,0.103,-10.289,Major,Anymore,56,0.0251,148.327,1990s,Travis Tritt,B - Major
0.291,1991,0.498,0.523,4.0251166666666665,0.366,0,0.0,A#,0.094,-14.069,Major,Have I Told You Lately - 2008 Remaster,67,0.0331,142.814,1990s,Rod Stewart,A# - Major
0.108,1991,0.000144,0.285,2.38245,0.979,0,0.0,D,0.334,-4.428,Major,Territorial Pissings,55,0.175,182.7,1990s,Nirvana,D - Major
0.722,1991,0.0502,0.965,5.387783333333333,0.449,1,1.17e-06,C,0.267,-15.225,Major,Tonite,55,0.237,105.392,1990s,DJ Quik,C - Major
0.474,1991,0.00549,0.551,3.949116666666667,0.591,0,6.55e-06,F#,0.0416,-8.404,Minor,I Wanna Sex You Up - Single Mix,60,0.12,201.799,1990s,Color Me Badd,F# - Minor
0.205,1991,5.39e-06,0.3670000000000001,3.524,0.981,0,0.0461,B,0.0822,-5.1,Minor,Stay Away,56,0.128,165.21,1990s,Nirvana,B - Minor
0.637,1991,0.0073599999999999,0.638,4.95155,0.7829999999999999,0,0.0447,B,0.0381,-9.455,Minor,Stand Back,57,0.0435,115.269,1990s,Stevie Nicks,B - Minor
0.8320000000000001,1991,0.0114,0.7090000000000001,4.416,0.8740000000000001,1,0.0,G,0.213,-4.522,Major,Alwayz Into Somethin',62,0.193,88.546,1990s,N.W.A.,G - Major
0.843,1991,0.0966,0.66,3.24445,0.639,0,0.00104,A,0.0442,-12.749,Major,Drivin' My Life Away,57,0.0369,84.124,1990s,Eddie Rabbitt,A - Major
0.365,1991,0.688,0.498,4.088883333333333,0.4320000000000001,0,0.0,A,0.136,-14.386,Major,Mistletoe and Wine,67,0.0345,135.015,1990s,Cliff Richard,A - Major
0.7070000000000001,1991,0.386,0.885,3.91045,0.608,0,0.0118,B,0.319,-10.809,Major,Excursions,58,0.1689999999999999,95.748,1990s,A Tribe Called Quest,B - Major
0.635,1991,0.0233,0.348,4.922883333333333,0.6859999999999999,0,0.00256,G#,0.145,-12.748,Minor,Breaking the Girl,62,0.0319,178.46599999999995,1990s,Red Hot Chili Peppers,G# - Minor
0.919,1991,0.426,0.7020000000000001,3.94955,0.901,0,0.00153,C#,0.0368,-4.45,Major,"Baby, Baby",61,0.0264,97.862,1990s,Amy Grant,C# - Major
0.619,1991,0.0706,0.657,5.200666666666667,0.369,0,0.0,G,0.494,-13.153,Minor,Stay,54,0.037,129.965,1990s,Jodeci,G - Minor
0.613,1991,0.222,0.638,4.37845,0.528,0,2.43e-05,B,0.076,-8.786,Major,Como Tu Mujer,68,0.0234,96.053,1990s,Rocío Dúrcal,B - Major
0.936,1991,0.000341,0.637,3.4968833333333333,0.8490000000000001,1,0.0386,C#,0.141,-6.855,Major,Unbelievable,62,0.0362,104.074,1990s,EMF,C# - Major
0.879,1991,0.78,0.7909999999999999,0.8848833333333334,0.5579999999999999,0,0.0,F,0.292,-9.122,Major,Main Theme: The Addams Family - Vocal Version,55,0.545,120.573,1990s,Vic Mizzy and His Orchestra and Chorus,F - Major
0.598,1991,0.304,0.648,2.538883333333333,0.5720000000000001,0,0.0,G,0.131,-7.494,Major,Here's a Quarter (Call Someone Who Cares),55,0.026,112.423,1990s,Travis Tritt,G - Major
0.5760000000000001,1991,0.114,0.887,3.62445,0.419,0,0.268,A#,0.129,-10.961,Minor,Buggin' Out,57,0.353,96.149,1990s,A Tribe Called Quest,A# - Minor
0.72,1991,0.7190000000000001,0.8220000000000001,4.1706666666666665,0.479,0,4.42e-05,B,0.124,-15.962,Major,Jazz (We've Got),59,0.271,92.461,1990s,A Tribe Called Quest,B - Major
0.6829999999999999,1991,0.039,0.7440000000000001,4.303333333333334,0.6970000000000001,0,0.0,G#,0.171,-14.753,Major,Now That We Found Love,59,0.0631,119.955,1990s,Heavy D & The Boyz,G# - Major
0.191,1991,0.6409999999999999,0.528,3.64555,0.234,0,0.0,D#,0.183,-15.784,Major,Save The Best For Last,55,0.0283,95.911,1990s,Vanessa Williams,D# - Major
0.688,1991,0.249,0.7879999999999999,5.0617833333333335,0.745,0,7.66e-06,F#,0.25,-9.342,Major,I'm Dreamin',55,0.0581,110.133,1990s,Christopher Williams,F# - Major
0.18,1991,0.994,0.303,3.1411166666666666,0.108,0,0.877,A,0.0805,-27.433000000000003,Minor,"Für Elise, WoO 59",62,0.0473,126.931,1990s,Ludwig van Beethoven,A - Minor
0.711,1991,0.0874,0.815,4.392433333333333,0.626,0,2.15e-06,D,0.317,-4.833,Major,Slow Ride,55,0.0359,86.896,1990s,Sublime,D - Major
0.914,1991,0.206,0.763,3.484,0.565,0,5.39e-06,A#,0.0798,-8.096,Major,Un Millon de Rosas,59,0.0613,86.042,1990s,La Mafia,A# - Major
0.785,1991,0.0143,0.754,3.92045,0.857,0,2.14e-05,D,0.278,-9.699,Major,Motownphilly,57,0.0605,114.144,1990s,Boyz II Men,D - Major
0.898,1991,0.499,0.914,4.022666666666667,0.528,0,4.38e-06,D#,0.0454,-9.114,Major,I Can't Dance - 2007 Remaster,54,0.0508,107.557,1990s,Genesis,D# - Major
0.247,1991,0.977,0.41,3.07445,0.0418,0,0.0137,C#,0.117,-24.754,Major,(I Love You) For Sentimental Reasons,58,0.035,67.882,1990s,Nat King Cole,C# - Major
0.358,1991,0.000119,0.428,3.24045,0.946,0,3.37e-06,D,0.141,-4.674,Major,On A Plain,54,0.102,133.26,1990s,Nirvana,D - Major
0.77,1991,0.136,0.7070000000000001,5.339333333333333,0.5,0,0.0,A,0.237,-15.198,Minor,Forever My Lady,52,0.0387,117.997,1990s,Jodeci,A - Minor
0.395,1991,0.763,0.706,4.882216666666666,0.44,0,0.0,E,0.0958,-11.577,Major,Rush Rush,62,0.0493,90.012,1990s,Paula Abdul,E - Major
0.382,1991,0.0118,0.408,3.014883333333333,0.82,0,6.58e-06,C,0.6890000000000001,-5.1160000000000005,Major,Bro Hymn,61,0.0423,98.288,1990s,Pennywise,C - Major
0.916,1991,0.0502,0.6679999999999999,5.0651166666666665,0.74,0,3.1e-05,A#,0.0563,-10.409,Major,Spring Love,52,0.0585,116.963,1990s,Stevie B,A# - Major
0.725,1991,0.0204,0.86,3.8051166666666663,0.439,0,0.0147,F#,0.0465,-12.264,Minor,Tom's Diner,53,0.0495,99.144,1990s,Suzanne Vega,F# - Minor
0.0888,1991,0.5710000000000001,0.389,3.8308833333333334,0.443,0,0.00178,A#,0.114,-8.546,Minor,No Sé Tú,69,0.0304,76.54,1990s,Luis Miguel,A# - Minor
0.6970000000000001,1991,0.00156,0.674,4.059783333333334,0.659,0,0.00765,G#,0.108,-8.049,Major,Mysterious Ways,61,0.0277,99.768,1990s,U2,G# - Major
0.472,1991,0.000881,0.627,4.276666666666666,0.752,0,0.0299,F,0.105,-7.691,Major,Of Wolf And Man,53,0.0346,121.775,1990s,Metallica,F - Major
0.963,1991,0.645,0.665,3.131783333333334,0.494,0,0.0,G#,0.3720000000000001,-7.432,Major,Que Me Entierren Con La Banda,59,0.0861,96.288,1990s,Antonio Aguilar,G# - Major
0.726,1991,0.181,0.66,3.794,0.711,0,7.47e-06,F,0.0647,-10.211,Major,I Touch Myself,63,0.0334,109.328,1990s,Divinyls,F - Major
0.3229999999999999,1991,0.236,0.395,2.972933333333333,0.502,0,5.79e-06,F#,0.332,-8.328,Major,Walk On the Ocean,55,0.0309,183.237,1990s,Toad The Wet Sprocket,F# - Major
0.36,1991,0.000377,0.138,4.292,0.691,0,0.7859999999999999,C,0.0895,-7.976,Major,Only Shallow,52,0.0443,170.342,1990s,My Bloody Valentine,C - Major
0.407,1991,0.0132,0.56,4.073333333333333,0.209,1,0.551,G,0.342,-13.591,Major,I Could Have Lied,61,0.039,140.744,1990s,Red Hot Chili Peppers,G - Major
0.826,1991,0.568,0.682,2.102433333333334,0.6409999999999999,0,0.0,G#,0.224,-8.915,Major,Rockin' Around the Christmas Tree,63,0.0386,141.002,1990s,Brenda Lee,G# - Major
0.919,1991,0.467,0.6779999999999999,2.8333333333333335,0.61,0,0.0,C,0.397,-10.509,Major,The Shoop Shoop Song (It's In His Kiss),66,0.0306,117.04,1990s,Cher,C - Major
0.362,1991,0.374,0.488,4.7248833333333335,0.209,0,5.05e-06,A#,0.103,-19.549,Major,1952 Vincent Black Lightning,58,0.0369,120.63,1990s,Richard Thompson,A# - Major
0.527,1991,0.0114,0.722,4.453783333333333,0.368,0,0.0016699999999999,E,0.0806,-13.212,Minor,Kumbala,67,0.0305,120.251,1990s,Maldita Vecindad Y Los Hijos Del 5to. Patio,E - Minor
0.733,1991,0.657,0.477,2.82935,0.376,0,0.0,A#,0.182,-8.125,Major,Me Caí De La Nube,58,0.0466,74.152,1990s,Cornelio Reyna,A# - Major
0.7140000000000001,1991,0.188,0.608,3.7222166666666663,0.583,0,0.0,E,0.129,-9.727,Minor,Into The Great Wide Open,56,0.0235,82.227,1990s,Tom Petty and the Heartbreakers,E - Minor
0.524,1991,0.00742,0.391,4.073333333333333,0.929,0,0.382,E,0.183,-6.773,Minor,Through The Never,52,0.0426,93.919,1990s,Metallica,E - Minor
0.51,1991,0.317,0.429,3.6386666666666665,0.789,0,3.4e-05,A,0.128,-4.948,Major,Hammer To Fall - Remastered 2011,52,0.0905,126.746,1990s,Queen,A - Major
0.348,1991,0.000288,0.48,3.79555,0.959,0,0.674,F,0.0507,-6.227,Major,Holier Than Thou,52,0.0376,172.18599999999995,1990s,Metallica,F - Major
0.966,1991,0.611,0.5539999999999999,3.0305833333333334,0.242,0,5.57e-06,F,0.0954,-11.573,Major,Qué Falta Me Hace Mi Padre,60,0.0592,171.013,1990s,Antonio Aguilar,F - Major
0.25,1991,0.708,0.5589999999999999,4.511333333333333,0.301,0,0.000561,D,0.152,-10.522,Major,Remember When,51,0.0294,125.584,1990s,Alan Jackson,D - Major
0.342,1991,0.742,0.6859999999999999,3.85845,0.234,0,0.0,C,0.145,-12.646,Major,"Love, Me",56,0.0295,106.581,1990s,Collin Raye,C - Major
0.723,1991,0.0088,0.657,3.1548833333333333,0.608,0,3.45e-06,D,0.103,-13.565,Major,Right Here Right Now,56,0.0287,106.862,1990s,Jesus Jones,D - Major
0.88,1991,0.109,0.778,3.38755,0.458,0,6.63e-05,A#,0.0752,-9.19,Major,Nuestra Canción,58,0.0325,82.256,1990s,La Mafia,A# - Major
0.8140000000000001,1991,0.00901,0.529,3.6633333333333336,0.7140000000000001,0,6.26e-06,F#,0.0772,-6.315,Major,Girlfriend,53,0.031,120.598,1990s,Matthew Sweet,F# - Major
0.281,1991,0.0005009999999999,0.49,5.324,0.91,0,0.141,E,0.0605,-9.84,Major,Poundcake,51,0.0404,105.451,1990s,Van Halen,E - Major
0.816,1991,0.162,0.846,4.36445,0.85,0,0.0,F#,0.355,-5.7070000000000025,Major,Rica y Apretadita (feat. Anayka),60,0.0509,115.341,1990s,El General,F# - Major
0.687,1991,0.119,0.797,2.8711166666666665,0.563,1,0.3229999999999999,F#,0.0969,-14.138,Minor,Sometimes I Rhyme Slow,53,0.123,108.369,1990s,Nice & Smooth,F# - Minor
